gene,category,subcategory
TFF1,Genes related to Figures,Fig. 3a
CD24,Genes related to Figures,Fig. 3a
EBF3,Genes related to Figures,Fig. 3a
SOX11,Genes related to Figures,Fig. 3a
ROBO1,Genes related to Figures,Fig. 3a
GAP43,Genes related to Figures,Fig. 3a
DCX,Genes related to Figures,Fig. 3a
PCDHB10,Genes related to Figures,Fig. 3a
STMN2,Genes related to Figures,Fig. 3a
POU4F2,Genes related to Figures,Fig. 3a
EBF1,Genes related to Figures,Fig. 3a
EGF,Genes related to Figures,Fig. 3a
GUCA1C,Genes related to Figures,Fig. 3a
TPBG,Genes related to Figures,Fig. 3a
GUCA1B,Genes related to Figures,Fig. 3a
GNAT2,Genes related to Figures,Fig. 3a
ARR3,Genes related to Figures,Fig. 3a
GNG2,Genes related to Figures,Fig. 3a
GUCA1A,Genes related to Figures,Fig. 3a
PDE6G,Genes related to Figures,Fig. 3a
PDE6H,Genes related to Figures,Fig. 3a
OPN1SW,Genes related to Figures,Fig. 3a
GUCA1C,Genes related to Figures,Fig. 3e (upper panel)
ARR3,Genes related to Figures,Fig. 3e (upper panel)
GNAT2,Genes related to Figures,Fig. 3e (upper panel)
OPN1SW,Genes related to Figures,Fig. 3e (upper panel)
PDE6H,Genes related to Figures,Fig. 3e (upper panel)
GNGT2,Genes related to Figures,Fig. 3e (upper panel)
PDE6C,Genes related to Figures,Fig. 3e (upper panel)
GNB3,Genes related to Figures,Fig. 3e (upper panel)
PEX5L,Genes related to Figures,Fig. 3e (upper panel)
SLC17A7,Genes related to Figures,Fig. 3e (upper panel)
TTR,Genes related to Figures,Fig. 3e (upper panel)
CCDC136,Genes related to Figures,Fig. 3e (upper panel)
RORA,Genes related to Figures,Fig. 3e (upper panel)
SYP,Genes related to Figures,Fig. 3e (upper panel)
XRCC4,Genes related to Figures,Fig. 3e (upper panel)
THRB,Genes related to Figures,Fig. 3e (upper panel)
GRK7,Genes related to Figures,Fig. 3e (upper panel)
RXRG,Genes related to Figures,Fig. 3e (upper panel)
RORB,Genes related to Figures,Fig. 3e (upper panel)
SALL3,Genes related to Figures,Fig. 3e (upper panel)
ONECUT1,Genes related to Figures,Fig. 3e (upper panel)
RAMP1,Genes related to Figures,Fig. 3e (upper panel)
EBF3,Genes related to Figures,Fig. 3e (lower panel)
SOX11,Genes related to Figures,Fig. 3e (lower panel)
GAP43,Genes related to Figures,Fig. 3e (lower panel)
POU4F2,Genes related to Figures,Fig. 3e (lower panel)
STMN2,Genes related to Figures,Fig. 3e (lower panel)
ELAVL3,Genes related to Figures,Fig. 3e (lower panel)
ONECUT1,Genes related to Figures,Fig. 3e (lower panel)
EBF1,Genes related to Figures,Fig. 3e (lower panel)
OTX2,Genes related to Figures,Fig. 4a
CRX,Genes related to Figures,Fig. 4a
THRB,Genes related to Figures,Fig. 4a
RXRG,Genes related to Figures,Fig. 4a
PDE6H,Genes related to Figures,Fig. 4a
GNAT2,Genes related to Figures,Fig. 4a
ARR3,Genes related to Figures,Fig. 4a
GUCA1C,Genes related to Figures,Fig. 4a
POU4F2,Genes related to Figures,Fig. 4a
EBF3,Genes related to Figures,Fig. 4a
EBF1,Genes related to Figures,Fig. 4a
GAP43,Genes related to Figures,Fig. 4a
TFF1,Genes related to Figures,Fig. 5b
GNGT1,Genes related to Figures,Fig. 5b
GAP43,Genes related to Figures,Fig. 5b
PDC,Genes related to Figures,Fig. 5b
ARR3,Genes related to Figures,Fig. 5b
PDE6H,Genes related to Figures,Fig. 5b
CENPF,Genes related to Figures,Fig. 5b
TOP2A,Genes related to Figures,Fig. 5b
MKI67,Genes related to Figures,Fig. 5b
BNIP3,Genes related to Figures,Fig. 5b
HSP90AA1,Genes related to Figures,Fig. 5b
LDHA,Genes related to Figures,Fig. 5b
CDK1,Genes related to Figures,Fig. 5b
CD74,Genes related to Figures,Fig. 5b
HLA-DRA,Genes related to Figures,Fig. 5b
C1QA,Genes related to Figures,Fig. 5b
IL32,Genes related to Figures,Fig. 5b
TRAC,Genes related to Figures,Fig. 5b
CD3D,Genes related to Figures,Fig. 5b
CRX,Genes related to Figures,Fig. 5c
ARR3,Genes related to Figures,Fig. 5c
EBF3,Genes related to Figures,Fig. 5c
DCX,Genes related to Figures,Fig. 5c
BNIP3,Genes related to Figures,Fig. 5c
CD3D,Genes related to Figures,Fig. 5c
OTX2,Genes related to Figures,Fig. 5c
GUCA1C,Genes related to Figures,Fig. 5c
GAP43,Genes related to Figures,Fig. 5c
MKI67,Genes related to Figures,Fig. 5c
CD14,Genes related to Figures,Fig. 5c
ARR3,Genes related to Figures,Fig. 5e
CRX,Genes related to Figures,Fig. 5e
EBF3,Genes related to Figures,Fig. 5e
GAP43,Genes related to Figures,Fig. 5e
MYCN,Cited in the article,Retinoblastoma related genes
BCOR,Cited in the article,Retinoblastoma related genes
RB1,Cited in the article,Retinoblastoma related genes
ARID1A,Cited in the article,Retinoblastoma related genes
EBF3,Cited in the article,neuronal/ganglion marker
DCX,Cited in the article,neuronal/ganglion marker
ROBO1,Cited in the article,neuronal/ganglion marker
PCDHB10,Cited in the article,neuronal/ganglion marker
SOX11,Cited in the article,neuronal/ganglion marker
GAP43,Cited in the article,neuronal/ganglion marker
STMN2,Cited in the article,neuronal/ganglion marker
POU4F2,Cited in the article,neuronal/ganglion marker
EBF1,Cited in the article,neuronal/ganglion marker
MDM4,Cited in the article,Retinoblastoma related genes
MIR17HG,Cited in the article,Retinoblastoma related genes
SKP2,Cited in the article,Retinoblastoma related genes
RBL2,Cited in the article,Retinoblastoma related genes
TFF1,DEG (Table S3),Subtype 2
CD24,DEG (Table S3),Subtype 2
EBF3,DEG (Table S3),Subtype 2
DCX,DEG (Table S3),Subtype 2
ROBO1,DEG (Table S3),Subtype 2
LINC01933,DEG (Table S3),Subtype 2
ST6GALNAC5,DEG (Table S3),Subtype 2
DPP10-AS1,DEG (Table S3),Subtype 2
ZFPM2,DEG (Table S3),Subtype 2
PRAME,DEG (Table S3),Subtype 2
BCL11A,DEG (Table S3),Subtype 2
DPP10,DEG (Table S3),Subtype 2
RAMP1,DEG (Table S3),Subtype 2
SOX11,DEG (Table S3),Subtype 2
GAP43,DEG (Table S3),Subtype 2
INSM2,DEG (Table S3),Subtype 2
CA10,DEG (Table S3),Subtype 2
TPH1,DEG (Table S3),Subtype 2
PCDHB16,DEG (Table S3),Subtype 2
ADRA2A,DEG (Table S3),Subtype 2
PLPPR5,DEG (Table S3),Subtype 2
PCDHB10,DEG (Table S3),Subtype 2
SATB2,DEG (Table S3),Subtype 2
FAT3,DEG (Table S3),Subtype 2
RNF182,DEG (Table S3),Subtype 2
ZDHHC22,DEG (Table S3),Subtype 2
SIMC1,DEG (Table S3),Subtype 2
SSTR2,DEG (Table S3),Subtype 2
CTCFL,DEG (Table S3),Subtype 2
GALNT7,DEG (Table S3),Subtype 2
POU4F2,DEG (Table S3),Subtype 2
SH3BP5,DEG (Table S3),Subtype 2
PCDHB2,DEG (Table S3),Subtype 2
HS3ST4,DEG (Table S3),Subtype 2
ROBO3,DEG (Table S3),Subtype 2
RSPO1,DEG (Table S3),Subtype 2
SLC16A9,DEG (Table S3),Subtype 2
CCDC88C,DEG (Table S3),Subtype 2
NEFM,DEG (Table S3),Subtype 2
CTNND2,DEG (Table S3),Subtype 2
EDIL3,DEG (Table S3),Subtype 2
MDK,DEG (Table S3),Subtype 2
NSG1,DEG (Table S3),Subtype 2
STMN2,DEG (Table S3),Subtype 2
BASP1,DEG (Table S3),Subtype 2
TSPAN11,DEG (Table S3),Subtype 2
UGT8,DEG (Table S3),Subtype 2
H2AFY2,DEG (Table S3),Subtype 2
TCERG1L,DEG (Table S3),Subtype 2
SPTBN2,DEG (Table S3),Subtype 2
DLL3,DEG (Table S3),Subtype 2
GSTA4,DEG (Table S3),Subtype 2
ZNF695,DEG (Table S3),Subtype 2
PDE9A,DEG (Table S3),Subtype 2
SLC10A4,DEG (Table S3),Subtype 2
OSR2,DEG (Table S3),Subtype 2
F2R,DEG (Table S3),Subtype 2
SYT6,DEG (Table S3),Subtype 2
VCAN,DEG (Table S3),Subtype 2
SSBP3,DEG (Table S3),Subtype 2
HSD17B11,DEG (Table S3),Subtype 2
MLLT3,DEG (Table S3),Subtype 2
TMEM246,DEG (Table S3),Subtype 2
IGFBPL1,DEG (Table S3),Subtype 2
NKAIN1,DEG (Table S3),Subtype 2
LMO4,DEG (Table S3),Subtype 2
TMPRSS3,DEG (Table S3),Subtype 2
PCDHB5,DEG (Table S3),Subtype 2
RCOR2,DEG (Table S3),Subtype 2
RAB33A,DEG (Table S3),Subtype 2
ELAVL3,DEG (Table S3),Subtype 2
FAM155A,DEG (Table S3),Subtype 2
KIF14,DEG (Table S3),Subtype 2
CHODL,DEG (Table S3),Subtype 2
TEX14,DEG (Table S3),Subtype 2
GPR161,DEG (Table S3),Subtype 2
ZNF124,DEG (Table S3),Subtype 2
ESAM,DEG (Table S3),Subtype 2
VANGL2,DEG (Table S3),Subtype 2
ZIC2,DEG (Table S3),Subtype 2
CHST8,DEG (Table S3),Subtype 2
SNRPE,DEG (Table S3),Subtype 2
ID1,DEG (Table S3),Subtype 2
ASXL3,DEG (Table S3),Subtype 2
LRRN1,DEG (Table S3),Subtype 2
ASPM,DEG (Table S3),Subtype 2
IGDCC3,DEG (Table S3),Subtype 2
WASF1,DEG (Table S3),Subtype 2
DDIT4L,DEG (Table S3),Subtype 2
CERS6,DEG (Table S3),Subtype 2
DCC,DEG (Table S3),Subtype 2
LRRC4,DEG (Table S3),Subtype 2
NKX3-2,DEG (Table S3),Subtype 2
TBR1,DEG (Table S3),Subtype 2
HS3ST5,DEG (Table S3),Subtype 2
NTF3,DEG (Table S3),Subtype 2
ASAP1,DEG (Table S3),Subtype 2
